intent,support,delta_stability
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied'}), 'Country': {'France', 'United States', 'Italy'}, 'LatestVintage': [2021.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",6,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'Portugal', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",6,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Medium-bodied'}), 'Country': NOT({'Chile', 'Germany', 'Australia', 'Spain'}), 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",6,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Other', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",6,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'United States', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red'}}",6,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Portugal', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red'}}",6,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",6,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Portugal', 'France', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",6,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Portugal', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",6,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'France', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",6,
"{'ABV': [13.0, 14.5], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'United States', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",6,
"{'ABV': [13.0, 14.5], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Portugal', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",6,
"{'ABV': [13.0, 14.5], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Portugal', 'Other', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red'}}",6,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Portugal', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",6,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Very full-bodied'}, 'Country': {'United States', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",5,
"{'ABV': [13.540000000000001, 48.0], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'United States', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red'}}",5,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Full-bodied'}), 'Country': {'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",5,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red'}}",5,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Full-bodied'}), 'Country': {'Other', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",5,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied'}), 'Country': {'France', 'United States', 'Other'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",5,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'Portugal', 'United States', 'Other'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red'}}",5,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'United States', 'Italy'}, 'LatestVintage': [2021.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",5,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Medium-bodied'}), 'Country': {'Portugal', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",5,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Medium-bodied'}), 'Country': {'Other', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",5,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'Portugal', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red'}}",5,
"{'ABV': [13.0, 14.5], 'Body': {'Full-bodied', 'Very full-bodied'}, 'Country': {'Portugal', 'Other', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red'}}",5,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Light-bodied'}, 'Country': {'Other', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",5,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Other', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red'}}",5,
"{'ABV': [13.0, 48.0], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'France', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",5,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",5,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Portugal', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",5,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Portugal', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red'}}",5,
"{'ABV': [13.0, 14.5], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Other', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",5,
"{'ABV': [13.0, 14.5], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'United States', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red'}}",5,
"{'ABV': [13.0, 14.5], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Portugal', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red'}}",5,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Portugal', 'France', 'United States', 'Other'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",5,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'France', 'United States', 'Italy'}, 'LatestVintage': 2021.0, 'Type': {'Rosé', 'Red'}}",5,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Portugal', 'France', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",5,
"{'ABV': [13.0, 14.5], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Portugal', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",5,
"{'ABV': [13.0, 13.540000000000001], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': NOT({'Chile', 'Germany', 'Australia', 'Spain'}), 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",5,
"{'ABV': [13.0, 14.5], 'Body': {'Light-bodied', 'Full-bodied'}, 'Country': {'Portugal', 'Other', 'France', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",5,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Very full-bodied'}, 'Country': {'United States', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red'}}",4,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Very full-bodied'}, 'Country': {'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",4,
"{'ABV': [13.540000000000001, 48.0], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red'}}",4,
"{'ABV': [13.0, 14.5], 'Body': {'Medium-bodied', 'Very full-bodied'}, 'Country': {'United States', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",4,
"{'ABV': [13.540000000000001, 14.5], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'United States', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red'}}",4,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Full-bodied'}), 'Country': {'France', 'United States', 'Other'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",4,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'United States', 'Other'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red'}}",4,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Full-bodied'}), 'Country': {'France', 'United States', 'Italy'}, 'LatestVintage': [2021.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",4,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Medium-bodied'}), 'Country': {'France', 'United States', 'Italy'}, 'LatestVintage': [2021.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",4,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'United States', 'Italy'}, 'LatestVintage': [2021.0, 2022.0], 'Type': {'Dessert', 'Red'}}",4,
"{'ABV': [13.0, 14.5], 'Body': {'Full-bodied', 'Very full-bodied'}, 'Country': {'Portugal', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red'}}",4,
"{'ABV': [13.0, 14.5], 'Body': {'Full-bodied', 'Very full-bodied'}, 'Country': {'United States', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red'}}",4,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied'}), 'Country': {'Portugal', 'France', 'United States'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",4,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Medium-bodied'}), 'Country': {'Portugal', 'France', 'United States', 'Other'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",4,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Light-bodied'}, 'Country': {'France', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",4,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied'}, 'Country': {'United States', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",4,
"{'ABV': [13.540000000000001, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Other', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red'}}",4,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Portugal', 'Italy', 'Other'}, 'LatestVintage': 2020.0, 'Type': {'Red'}}",4,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",4,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Light-bodied'}, 'Country': {'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",4,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red'}}",4,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Portugal', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red'}}",4,
"{'ABV': [13.0, 14.5], 'Body': {'Medium-bodied', 'Light-bodied'}, 'Country': {'Other', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",4,
"{'ABV': [13.0, 14.5], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Other', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red'}}",4,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'France', 'United States', 'Other'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",4,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Portugal', 'France', 'Other'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",4,
"{'ABV': [13.0, 14.5], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Portugal', 'United States', 'Other'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red'}}",4,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'France', 'Italy'}, 'LatestVintage': 2021.0, 'Type': {'Rosé', 'Red'}}",4,
"{'ABV': [13.0, 14.5], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'United States', 'Italy'}, 'LatestVintage': 2021.0, 'Type': {'Rosé', 'Red'}}",4,
"{'ABV': [13.0, 14.5], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Portugal', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",4,
"{'ABV': [13.0, 13.540000000000001], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Portugal', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",4,
"{'ABV': [13.0, 13.540000000000001], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Other', 'France', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",4,
"{'ABV': [13.0, 13.540000000000001], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Portugal', 'Other', 'France', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",4,
"{'ABV': [13.0, 13.540000000000001], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Portugal', 'Other', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",4,
"{'ABV': [13.0, 14.5], 'Body': {'Light-bodied', 'Full-bodied'}, 'Country': {'Portugal', 'France', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",4,
"{'ABV': [13.0, 14.5], 'Body': {'Light-bodied', 'Full-bodied'}, 'Country': {'France', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",4,
"{'ABV': [13.0, 14.5], 'Body': {'Medium-bodied', 'Full-bodied'}, 'Country': {'Portugal', 'United States', 'Italy'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red'}}",4,
"{'ABV': [13.0, 14.5], 'Body': {'Full-bodied'}, 'Country': {'Portugal', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Red'}}",4,
"{'ABV': [13.0, 13.540000000000001], 'Body': NOT({'Very light-bodied', 'Very full-bodied'}), 'Country': {'Portugal', 'France', 'United States', 'Other'}, 'LatestVintage': [2020.0, 2021.0], 'Type': {'Rosé', 'Red'}}",4,
"{'ABV': [13.540000000000001, 48.0], 'Body': {'Medium-bodied', 'Very full-bodied'}, 'Country': {'United States', 'Italy', 'Other'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red'}}",3,
"{'ABV': [13.0, 48.0], 'Body': {'Medium-bodied', 'Very full-bodied'}, 'Country': {'United States', 'Italy'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red'}}",3,
"{'ABV': [13.0, 14.5], 'Body': {'Medium-bodied', 'Very full-bodied'}, 'Country': {'United States', 'Other'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red'}}",3,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Full-bodied'}), 'Country': {'France', 'United States', 'Italy'}, 'LatestVintage': [2021.0, 2022.0], 'Type': {'Dessert', 'Rosé'}}",3,
"{'ABV': [13.0, 14.5], 'Body': {'Medium-bodied', 'Very full-bodied'}, 'Country': {'United States', 'Italy'}, 'LatestVintage': [2021.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",3,
"{'ABV': [13.540000000000001, 14.5], 'Body': {'Full-bodied', 'Very full-bodied'}, 'Country': {'United States', 'Italy'}, 'LatestVintage': [2021.0, 2022.0], 'Type': {'Dessert', 'Red'}}",3,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Full-bodied'}), 'Country': {'France', 'United States'}, 'LatestVintage': [2021.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",3,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Medium-bodied'}), 'Country': {'Portugal', 'France', 'United States'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",3,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Medium-bodied'}), 'Country': {'France', 'United States', 'Other'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red', 'Rosé'}}",3,
"{'ABV': [13.0, 14.5], 'Body': NOT({'Very light-bodied', 'Light-bodied'}), 'Country': {'Portugal', 'United States'}, 'LatestVintage': [2020.0, 2022.0], 'Type': {'Dessert', 'Red'}}",3,
