,{},"{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Shiraz', 'Grenache', 'Chardonnay', 'Malbec'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Grenache', 'Chardonnay', 'Shiraz'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Grenache', 'Chardonnay', 'Malbec'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Pinot Noir', 'Grenache', 'Chardonnay', 'Malbec', 'Shiraz'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Merlot', 'Cabernet Sauvignon', 'Pinot Noir', 'Grenache', 'Chardonnay', 'Malbec', 'Shiraz'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Chardonnay', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Grenache'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Chardonnay', 'Shiraz', 'Tempranillo', 'Cabernet Sauvignon', 'Pinot Noir', 'Grenache'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Shiraz', 'Grenache', 'Chardonnay', 'Malbec'}, 'Type': {'White', 'Red'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Chardonnay', 'Malbec', 'Shiraz'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Merlot', 'Pinot Noir', 'Grenache', 'Chardonnay', 'Malbec', 'Shiraz'}, 'Type': {'White', 'Red', 'Rosé'}}"
493,1,1,1,0,1,1,0,1,1,1,1
494,1,1,1,0,1,1,0,1,1,1,1
495,1,0,0,0,0,0,0,0,0,0,0
496,1,0,0,0,0,0,0,0,0,0,0
497,1,1,1,1,1,1,1,1,1,1,0
498,1,1,1,1,1,1,1,1,1,1,1
499,1,0,0,0,0,0,0,0,0,0,0
500,1,1,1,1,1,1,1,1,1,1,1
501,1,0,0,0,0,0,0,0,0,0,0
502,1,1,1,1,1,1,1,1,1,1,1
503,1,0,0,0,0,0,0,0,0,0,0
504,1,1,1,1,1,1,1,1,1,1,0
505,1,1,1,1,0,1,1,0,1,1,1
506,1,1,1,1,1,1,1,1,1,1,1
507,1,1,1,1,1,1,1,1,1,1,1
508,1,1,1,1,1,1,1,1,1,1,1
509,1,1,1,1,1,1,1,1,1,1,0
510,1,1,1,1,1,1,1,1,0,0,1
511,1,0,0,0,0,0,0,0,0,0,0
512,1,1,1,1,1,1,1,1,1,1,1
513,1,0,0,0,0,0,0,0,0,0,0
514,1,1,1,1,1,1,1,1,1,1,0
515,1,0,0,0,0,0,0,0,0,0,0
516,1,1,1,1,1,1,1,1,1,1,1
517,1,1,1,1,1,1,1,1,1,1,1
518,1,1,1,1,1,0,1,1,1,1,1
519,1,0,0,0,0,0,0,0,0,0,0
520,1,0,0,0,0,0,0,0,0,0,0
521,1,1,1,1,1,1,1,1,0,0,1
522,1,1,1,1,0,1,1,0,1,1,1
523,1,1,1,1,1,1,1,1,0,0,1
524,1,1,1,1,1,1,1,1,0,0,1
525,1,0,0,0,0,0,0,0,0,0,0
526,1,1,1,1,1,1,1,1,0,0,1
527,1,0,0,0,0,0,0,0,0,0,0
528,1,1,1,0,1,1,0,1,1,1,1
529,1,1,1,1,1,1,1,1,1,1,1
530,1,0,0,0,0,0,0,0,0,0,0
531,1,1,1,1,0,1,1,0,1,1,1
532,1,1,1,1,1,1,1,1,1,1,1
533,1,0,0,0,0,0,0,0,0,0,0
534,1,0,0,0,0,0,0,0,0,0,0
535,1,1,1,1,1,1,1,1,1,1,1
536,1,1,1,1,1,1,1,1,1,1,1
537,1,0,0,0,0,0,0,0,0,0,0
538,1,0,0,0,0,0,0,0,0,0,0
539,1,0,0,0,0,0,0,0,0,0,0
540,1,0,0,0,0,0,0,0,0,0,0
541,1,0,0,0,0,0,0,0,0,0,0
542,1,1,0,1,1,1,0,0,1,1,1
543,1,1,1,1,1,1,1,1,1,1,1
544,1,1,1,1,1,0,1,1,1,1,1
545,1,1,1,1,1,0,1,1,1,1,1
546,1,0,0,0,0,0,0,0,0,0,0
547,1,0,0,0,0,0,0,0,0,0,0
548,1,1,1,1,1,0,1,1,1,1,1
549,1,0,0,0,0,0,0,0,0,0,0
550,1,0,0,0,0,0,0,0,0,0,0
551,1,0,0,0,0,0,0,0,0,0,0
552,1,0,0,0,0,0,0,0,0,0,0
553,1,0,0,0,0,0,0,0,0,0,0
554,1,0,0,0,0,0,0,0,0,0,0
555,1,1,1,1,1,1,1,1,1,1,1
556,1,1,1,1,1,1,1,1,1,1,0
557,1,1,0,1,1,1,0,0,1,1,1
558,1,1,0,1,1,1,0,0,1,1,1
559,1,1,1,1,1,1,1,1,1,1,1
560,1,0,0,0,0,0,0,0,0,0,0
561,1,1,1,1,1,1,1,1,1,1,1
562,1,1,1,1,1,1,1,1,1,1,1
563,1,0,0,0,0,0,0,0,0,0,0
564,1,1,1,1,0,1,1,0,1,1,1
565,1,1,1,1,0,1,1,0,1,1,1
566,1,1,1,1,1,1,1,1,1,1,0
567,1,1,1,1,1,1,1,1,1,0,1
568,1,1,1,1,0,1,1,0,1,1,1
569,1,1,1,1,1,1,1,1,1,0,1
570,1,1,1,1,1,1,1,1,1,1,0
571,1,1,1,1,1,1,1,1,1,1,1
572,1,1,1,1,1,1,1,1,1,1,1
573,1,1,1,1,1,1,1,1,1,1,1
574,1,1,1,1,1,1,1,1,1,1,1
575,1,0,0,0,0,0,0,0,0,0,0
576,1,0,0,0,0,0,0,0,0,0,0
577,1,1,1,1,1,1,1,1,1,0,1
578,1,1,1,1,1,1,1,1,1,0,1
579,1,1,1,1,1,0,1,1,1,1,1
580,1,0,0,0,0,0,0,0,0,0,0
581,1,1,1,0,1,1,0,1,1,1,1
582,1,1,1,1,1,1,1,1,1,1,1
583,1,1,1,1,1,1,1,1,1,1,0
584,1,0,0,0,0,0,0,0,0,0,0
585,1,0,0,0,0,0,0,0,0,0,0
586,1,1,1,1,0,1,1,0,1,1,1
587,1,1,1,1,1,1,1,1,1,1,1
588,1,1,1,1,1,1,1,1,1,1,1
589,1,1,1,1,1,1,1,1,1,1,1
590,1,1,1,1,1,1,1,1,1,1,1
591,1,1,1,1,1,1,1,1,1,1,1
592,1,0,0,0,0,0,0,0,0,0,0
593,1,0,0,0,0,0,0,0,0,0,0
594,1,1,1,1,1,1,1,1,1,1,0
595,1,1,1,1,1,1,1,1,1,1,1
596,1,1,1,1,1,1,1,1,1,1,1
597,1,1,1,1,1,1,1,1,1,1,1
598,1,0,0,0,0,0,0,0,0,0,0
599,1,1,1,1,1,1,1,1,1,1,1
600,1,1,1,1,1,1,1,1,1,1,1
601,1,1,1,1,1,1,1,1,1,1,1
602,1,0,0,0,0,0,0,0,0,0,0
603,1,0,0,0,0,0,0,0,0,0,0
604,1,1,1,1,1,1,1,1,1,1,0
605,1,1,1,1,1,1,1,1,1,0,1
606,1,0,0,0,0,0,0,0,0,0,0
607,1,1,1,1,1,1,1,1,1,0,1
608,1,0,0,0,0,0,0,0,0,0,0
609,1,1,1,1,1,1,1,1,1,1,1
610,1,1,1,1,1,1,1,1,1,1,1
611,1,1,1,1,1,0,1,1,1,1,1
612,1,1,1,1,1,1,1,1,1,1,0
613,1,1,0,1,1,1,0,0,1,1,1
614,1,1,1,1,1,1,1,1,1,1,1
615,1,1,1,1,1,1,1,1,1,1,1
616,1,1,1,1,1,1,1,1,1,1,1
617,1,1,1,1,1,1,1,1,1,1,1
618,1,1,1,1,1,1,1,1,1,1,1
619,1,1,0,1,1,1,0,0,1,1,1
620,1,0,0,0,0,0,0,0,0,0,0
621,1,0,0,0,0,0,0,0,0,0,0
622,1,1,1,0,1,1,0,1,1,1,1
623,1,1,1,1,1,1,1,1,1,1,0
624,1,1,1,1,1,1,1,1,1,1,1
625,1,0,0,0,0,0,0,0,0,0,0
626,1,0,0,0,0,0,0,0,0,0,0
627,1,1,1,1,1,1,1,1,1,1,1
628,1,1,1,1,1,1,1,1,1,1,1
629,1,1,1,1,1,1,1,1,1,0,1
630,1,0,0,0,0,0,0,0,0,0,0
631,1,1,1,1,1,1,1,1,1,1,1
632,1,1,1,1,1,1,1,1,1,1,1
633,1,1,1,1,1,1,1,1,0,0,1
634,1,1,1,1,0,1,1,0,1,1,1
635,1,0,0,0,0,0,0,0,0,0,0
636,1,1,1,1,1,1,1,1,1,1,1
637,1,1,1,0,1,1,0,1,1,1,1
638,1,0,0,0,0,0,0,0,0,0,0
639,1,1,1,1,1,1,1,1,1,1,1
640,1,1,1,1,1,1,1,1,1,1,1
641,1,0,0,0,0,0,0,0,0,0,0
642,1,1,1,1,1,1,1,1,1,1,1
643,1,0,0,0,0,0,0,0,0,0,0
644,1,0,0,0,0,0,0,0,0,0,0
645,1,0,0,0,0,0,0,0,0,0,0
646,1,0,0,0,0,0,0,0,0,0,0
647,1,0,0,0,0,0,0,0,0,0,0
648,1,1,1,1,1,1,1,1,1,1,1
649,1,0,0,0,0,0,0,0,0,0,0
650,1,1,1,1,1,1,1,1,1,0,1
651,1,1,1,1,1,1,1,1,1,1,1
652,1,1,1,1,1,1,1,1,1,0,1
653,1,1,1,1,1,1,1,1,1,0,1
654,1,1,1,1,1,1,1,1,0,0,1
655,1,0,0,0,0,0,0,0,0,0,0
656,1,0,0,0,0,0,0,0,0,0,0
657,1,1,1,1,1,1,1,1,1,1,1
658,1,0,0,0,0,0,0,0,0,0,0
659,1,1,1,1,1,1,1,1,1,1,1
660,1,0,0,0,0,0,0,0,0,0,0
661,1,0,0,0,0,0,0,0,0,0,0
662,1,1,1,1,1,1,1,1,1,1,1
663,1,0,0,0,0,0,0,0,0,0,0
664,1,1,1,1,1,1,1,1,1,1,0
665,1,1,1,1,1,1,1,1,1,1,1
666,1,0,0,0,0,0,0,0,0,0,0
667,1,1,1,0,1,1,0,1,1,1,1
668,1,0,0,0,0,0,0,0,0,0,0
669,1,0,0,0,0,0,0,0,0,0,0
670,1,0,0,0,0,0,0,0,0,0,0
671,1,0,0,0,0,0,0,0,0,0,0
672,1,1,1,1,1,1,1,1,1,1,1
673,1,0,0,0,0,0,0,0,0,0,0
674,1,1,1,1,1,1,1,1,1,1,1
675,1,1,1,1,1,1,1,1,1,1,1
676,1,1,1,1,1,1,1,1,1,0,1
677,1,1,1,1,0,1,1,0,1,1,1
678,1,1,1,1,1,1,1,1,1,1,1
679,1,1,1,1,1,1,1,1,1,0,1
680,1,0,0,0,0,0,0,0,0,0,0
681,1,1,1,1,1,1,1,1,1,1,1
682,1,0,0,0,0,0,0,0,0,0,0
683,1,0,0,0,0,0,0,0,0,0,0
684,1,1,1,1,1,1,1,1,1,1,1
685,1,0,0,0,0,0,0,0,0,0,0
686,1,1,1,1,1,1,1,1,1,1,1
687,1,1,1,1,1,1,1,1,1,1,1
688,1,1,1,1,1,1,1,1,1,0,1
689,1,0,0,0,0,0,0,0,0,0,0
690,1,1,1,1,1,1,1,1,1,1,1
691,1,1,1,1,1,1,1,1,1,1,0
692,1,0,0,0,0,0,0,0,0,0,0
693,1,1,1,1,1,1,1,1,1,1,0
694,1,1,1,1,1,1,1,1,1,1,0
695,1,0,0,0,0,0,0,0,0,0,0
696,1,0,0,0,0,0,0,0,0,0,0
697,1,0,0,0,0,0,0,0,0,0,0
698,1,1,1,1,1,1,1,1,1,1,1
699,1,1,1,1,1,1,1,1,1,1,1
700,1,1,1,1,1,1,1,1,1,1,0
701,1,1,1,1,1,1,1,1,1,1,1
702,1,1,1,1,1,1,1,1,1,1,1
703,1,1,1,1,1,1,1,1,1,1,1
704,1,1,1,1,1,1,1,1,1,1,1
705,1,1,1,1,0,1,1,0,1,1,1
706,1,1,1,1,0,1,1,0,1,1,1
707,1,0,0,0,0,0,0,0,0,0,0
708,1,0,0,0,0,0,0,0,0,0,0
709,1,0,0,0,0,0,0,0,0,0,0
710,1,0,0,0,0,0,0,0,0,0,0
711,1,1,1,1,1,1,1,1,1,1,1
712,1,0,0,0,0,0,0,0,0,0,0
713,1,1,1,1,1,1,1,1,1,1,1
714,1,0,0,0,0,0,0,0,0,0,0
715,1,1,1,1,1,1,1,1,1,1,1
716,1,1,1,1,1,1,1,1,1,1,1
717,1,1,1,1,1,1,1,1,1,1,1
718,1,1,1,1,1,1,1,1,1,1,1
719,1,1,1,0,1,1,0,1,1,1,1
720,1,1,1,0,1,1,0,1,1,1,1
721,1,1,1,0,1,1,0,1,1,1,1
722,1,1,1,0,1,1,0,1,1,1,1
723,1,1,1,1,1,1,1,1,1,1,1
724,1,1,1,1,1,1,1,1,1,1,1
725,1,0,0,0,0,0,0,0,0,0,0
726,1,1,1,1,1,1,1,1,1,1,1
727,1,1,1,1,1,1,1,1,1,1,0
728,1,1,1,1,1,1,1,1,1,0,1
729,1,1,1,1,1,1,1,1,1,1,1
730,1,0,0,0,0,0,0,0,0,0,0
731,1,0,0,0,0,0,0,0,0,0,0
732,1,1,0,1,1,1,0,0,1,1,1
733,1,1,0,1,1,1,0,0,1,1,1
734,1,0,0,0,0,0,0,0,0,0,0
735,1,0,0,0,0,0,0,0,0,0,0
736,1,1,1,1,1,1,1,1,1,1,1
737,1,0,0,0,0,0,0,0,0,0,0
738,1,0,0,0,0,0,0,0,0,0,0
739,1,0,0,0,0,0,0,0,0,0,0
740,1,0,0,0,0,0,0,0,0,0,0
741,1,0,0,0,0,0,0,0,0,0,0
742,1,0,0,0,0,0,0,0,0,0,0
743,1,1,1,1,1,1,1,1,1,1,1
744,1,1,1,1,1,1,1,1,1,1,0
745,1,1,1,1,1,1,1,1,1,1,0
746,1,1,1,1,1,1,1,1,1,1,0
747,1,1,0,1,1,1,0,0,1,1,1
748,1,1,1,1,1,1,1,1,1,1,1
749,1,0,0,0,0,0,0,0,0,0,0
750,1,0,0,0,0,0,0,0,0,0,0
751,1,0,0,0,0,0,0,0,0,0,0
752,1,0,0,0,0,0,0,0,0,0,0
753,1,1,1,1,1,1,1,1,1,1,1
754,1,0,0,0,0,0,0,0,0,0,0
755,1,1,1,1,1,1,1,1,1,1,0
756,1,1,1,1,1,1,1,1,1,1,1
757,1,0,0,0,0,0,0,0,0,0,0
758,1,1,0,1,1,1,0,0,1,1,1
759,1,1,1,1,1,1,1,1,0,0,1
760,1,1,1,1,1,1,1,1,0,0,1
761,1,1,1,1,1,1,1,1,1,1,1
762,1,1,1,1,1,1,1,1,1,1,1
763,1,1,1,1,1,1,1,1,1,1,1
764,1,1,1,1,1,1,1,1,0,1,1
765,1,0,0,0,0,0,0,0,0,0,0
766,1,0,0,0,0,0,0,0,0,0,0
767,1,0,0,0,0,0,0,0,0,0,0
768,1,1,1,1,1,1,1,1,0,0,1
769,1,1,1,0,1,1,0,1,1,1,1
770,1,1,1,1,1,1,1,1,0,1,1
771,1,1,1,1,1,1,1,1,1,1,1
772,1,0,0,0,0,0,0,0,0,0,0
773,1,1,1,0,1,1,0,1,1,1,1
774,1,1,1,1,1,1,1,1,1,1,1
775,1,0,0,0,0,0,0,0,0,0,0
776,1,1,1,1,1,1,1,1,1,1,1
777,1,0,0,0,0,0,0,0,0,0,0
778,1,1,1,1,1,1,1,1,0,1,1
779,1,1,1,1,1,1,1,1,0,1,1
780,1,1,1,1,1,1,1,1,1,0,1
781,1,1,1,1,1,1,1,1,1,1,1
782,1,1,1,1,0,1,1,0,1,1,1
783,1,1,1,1,1,1,1,1,1,1,1
784,1,0,0,0,0,0,0,0,0,0,0
785,1,1,1,1,1,1,1,1,1,1,1
786,1,1,1,1,1,1,1,1,1,1,1
787,1,0,0,0,0,0,0,0,0,0,0
788,1,1,1,1,1,1,1,1,1,1,1
789,1,0,0,0,0,0,0,0,0,0,0
790,1,1,1,1,1,1,1,1,1,1,1
791,1,1,1,1,1,1,1,1,1,1,1
792,1,0,0,0,0,0,0,0,0,0,0
793,1,1,1,1,1,1,1,1,1,1,1
794,1,0,0,0,0,0,0,0,0,0,0
795,1,1,1,1,1,1,1,1,1,1,1
796,1,1,1,1,1,1,1,1,1,1,1
797,1,0,0,0,0,0,0,0,0,0,0
798,1,0,0,0,0,0,0,0,0,0,0
799,1,1,1,1,1,1,1,1,1,1,1
800,1,1,0,1,1,1,0,0,1,1,1
801,1,0,0,0,0,0,0,0,0,0,0
802,1,0,0,0,0,0,0,0,0,0,0
803,1,1,1,1,1,1,1,1,1,1,0
804,1,1,1,1,1,1,1,1,1,0,1
805,1,0,0,0,0,0,0,0,0,0,0
806,1,0,0,0,0,0,0,0,0,0,0
807,1,1,1,1,1,1,1,1,1,1,1
808,1,0,0,0,0,0,0,0,0,0,0
809,1,0,0,0,0,0,0,0,0,0,0
810,1,1,1,1,1,1,1,1,1,1,1
811,1,1,1,1,1,1,1,1,1,1,1
812,1,0,0,0,0,0,0,0,0,0,0
813,1,0,0,0,0,0,0,0,0,0,0
814,1,0,0,0,0,0,0,0,0,0,0
815,1,0,0,0,0,0,0,0,0,0,0
816,1,0,0,0,0,0,0,0,0,0,0
817,1,1,1,1,1,1,1,1,1,1,0
818,1,1,1,1,1,1,1,1,0,1,1
819,1,1,1,1,1,1,1,1,1,1,1
820,1,1,1,1,1,1,1,1,0,1,1
821,1,1,1,1,1,1,1,1,0,1,1
822,1,0,0,0,0,0,0,0,0,0,0
823,1,1,1,1,1,1,1,1,1,1,0
824,1,0,0,0,0,0,0,0,0,0,0
825,1,0,0,0,0,0,0,0,0,0,0
826,1,0,0,0,0,0,0,0,0,0,0
827,1,1,1,1,1,1,1,1,0,0,1
828,1,0,0,0,0,0,0,0,0,0,0
829,1,1,1,1,1,1,1,1,1,1,1
830,1,0,0,0,0,0,0,0,0,0,0
831,1,1,1,1,1,1,1,1,0,0,1
832,1,1,1,1,1,1,1,1,0,0,1
833,1,0,0,0,0,0,0,0,0,0,0
834,1,1,1,1,1,1,1,1,0,0,1
835,1,1,0,1,1,1,0,0,0,1,1
836,1,0,0,0,0,0,0,0,0,0,0
837,1,1,1,1,1,1,1,1,0,1,1
838,1,0,0,0,0,0,0,0,0,0,0
839,1,0,0,0,0,0,0,0,0,0,0
840,1,1,1,1,1,1,1,1,0,1,1
841,1,1,1,1,1,1,1,1,1,1,1
842,1,1,1,1,1,0,1,1,1,1,1
843,1,1,1,1,0,1,1,0,1,1,1
844,1,1,1,1,1,1,1,1,1,1,1
845,1,0,0,0,0,0,0,0,0,0,0
846,1,1,1,1,1,1,1,1,1,1,1
847,1,1,1,1,1,1,1,1,1,1,1
848,1,0,0,0,0,0,0,0,0,0,0
849,1,0,0,0,0,0,0,0,0,0,0
850,1,1,1,1,1,1,1,1,1,1,1
851,1,0,0,0,0,0,0,0,0,0,0
852,1,1,1,1,1,1,1,1,1,1,0
853,1,1,1,1,1,1,1,1,1,1,1
854,1,0,0,0,0,0,0,0,0,0,0
855,1,1,1,1,1,1,1,1,1,1,1
856,1,1,1,1,1,1,1,1,1,1,1
857,1,1,1,1,1,1,1,1,1,1,1
858,1,0,0,0,0,0,0,0,0,0,0
859,1,1,1,1,1,1,1,1,1,1,1
860,1,1,1,1,1,1,1,1,1,1,1
861,1,0,0,0,0,0,0,0,0,0,0
862,1,1,1,1,1,1,1,1,1,1,1
863,1,1,1,1,1,1,1,1,1,1,1
864,1,1,1,1,1,1,1,1,1,1,1
865,1,1,1,1,1,1,1,1,1,1,1
866,1,1,1,1,1,1,1,1,1,1,1
867,1,1,1,1,1,1,1,1,1,1,1
868,1,0,0,0,0,0,0,0,0,0,0
869,1,1,1,1,1,0,1,1,1,1,1
870,1,1,1,1,1,0,1,1,1,1,1
871,1,0,0,0,0,0,0,0,0,0,0
872,1,0,0,0,0,0,0,0,0,0,0
873,1,0,0,0,0,0,0,0,0,0,0
874,1,1,1,1,1,1,1,1,1,0,1
875,1,1,1,1,1,1,1,1,1,1,1
876,1,1,1,1,1,0,1,1,1,1,1
877,1,0,0,0,0,0,0,0,0,0,0
878,1,1,1,1,1,1,1,1,1,1,1
879,1,0,0,0,0,0,0,0,0,0,0
880,1,1,1,1,0,1,1,0,1,1,1
881,1,1,1,1,1,1,1,1,1,1,1
882,1,0,0,0,0,0,0,0,0,0,0
883,1,1,1,1,1,1,1,1,0,1,1
884,1,1,1,1,1,1,1,1,1,1,1
885,1,1,1,1,1,1,1,1,1,1,1
886,1,1,1,1,1,1,1,1,1,1,1
887,1,1,1,1,1,1,1,1,1,1,0
888,1,1,0,1,1,1,0,0,1,1,1
889,1,1,1,1,1,1,1,1,0,1,1
890,1,1,1,1,1,1,1,1,1,1,1
891,1,1,1,1,1,1,1,1,1,1,1
892,1,0,0,0,0,0,0,0,0,0,0
893,1,1,1,1,1,1,1,1,1,1,1
894,1,0,0,0,0,0,0,0,0,0,0
895,1,1,1,1,1,1,1,1,1,1,1
896,1,0,0,0,0,0,0,0,0,0,0
897,1,1,1,1,1,1,1,1,1,1,1
898,1,1,1,1,1,1,1,1,0,1,1
899,1,1,1,1,1,1,1,1,0,0,1
900,1,1,1,1,1,1,1,1,0,1,1
901,1,0,0,0,0,0,0,0,0,0,0
902,1,1,1,1,1,1,1,1,1,1,1
903,1,1,1,1,1,1,1,1,1,1,1
904,1,0,0,0,0,0,0,0,0,0,0
905,1,0,0,0,0,0,0,0,0,0,0
906,1,1,1,1,1,1,1,1,1,1,1
907,1,1,1,1,1,1,1,1,0,1,1
908,1,1,1,1,1,1,1,1,0,1,1
909,1,1,1,1,1,1,1,1,1,1,1
910,1,1,1,1,1,1,1,1,1,1,1
911,1,0,0,0,0,0,0,0,0,0,0
912,1,0,0,0,0,0,0,0,0,0,0
913,1,1,1,1,1,1,1,1,1,1,1
914,1,1,1,1,1,1,1,1,1,1,1
915,1,1,1,1,0,1,1,0,1,1,1
916,1,0,0,0,0,0,0,0,0,0,0
917,1,0,0,0,0,0,0,0,0,0,0
918,1,1,1,1,1,1,1,1,1,1,1
919,1,1,1,1,1,1,1,1,1,1,0
920,1,0,0,0,0,0,0,0,0,0,0
921,1,1,0,1,1,1,0,0,1,1,1
922,1,1,1,1,1,1,1,1,1,1,1
923,1,0,0,0,0,0,0,0,0,0,0
924,1,0,0,0,0,0,0,0,0,0,0
925,1,0,0,0,0,0,0,0,0,0,0
926,1,1,1,1,1,1,1,1,1,1,0
927,1,1,1,1,1,0,1,1,1,1,1
928,1,1,1,1,1,0,1,1,1,1,1
929,1,0,0,0,0,0,0,0,0,0,0
930,1,0,0,0,0,0,0,0,0,0,0
931,1,1,1,1,0,1,1,0,1,1,1
932,1,1,1,1,1,1,1,1,1,0,1
933,1,1,1,1,1,1,1,1,1,1,0
934,1,1,1,1,1,1,1,1,1,1,1
935,1,1,1,1,1,1,1,1,1,1,1
936,1,1,1,1,1,1,1,1,1,1,1
937,1,0,0,0,0,0,0,0,0,0,0
938,1,1,1,1,0,1,1,0,1,1,1
939,1,1,0,1,1,1,0,0,1,1,1
940,1,0,0,0,0,0,0,0,0,0,0
941,1,0,0,0,0,0,0,0,0,0,0
942,1,1,1,1,1,1,1,1,1,1,1
943,1,0,0,0,0,0,0,0,0,0,0
944,1,0,0,0,0,0,0,0,0,0,0
945,1,0,0,0,0,0,0,0,0,0,0
946,1,1,1,1,1,1,1,1,1,1,1
947,1,1,1,1,1,1,1,1,1,1,1
948,1,0,0,0,0,0,0,0,0,0,0
949,1,1,1,1,1,1,1,1,1,1,1
950,1,1,1,1,1,1,1,1,1,1,1
951,1,1,1,1,1,1,1,1,1,1,1
952,1,1,1,1,1,1,1,1,1,1,1
953,1,0,0,0,0,0,0,0,0,0,0
954,1,0,0,0,0,0,0,0,0,0,0
955,1,1,1,0,1,1,0,1,1,1,1
956,1,0,0,0,0,0,0,0,0,0,0
957,1,1,1,0,1,1,0,1,1,1,1
958,1,1,1,1,0,1,1,0,1,1,1
959,1,1,1,0,1,1,0,1,1,1,1
960,1,0,0,0,0,0,0,0,0,0,0
961,1,0,0,0,0,0,0,0,0,0,0
962,1,0,0,0,0,0,0,0,0,0,0
963,1,1,1,1,1,1,1,1,1,1,0
964,1,0,0,0,0,0,0,0,0,0,0
965,1,1,1,1,1,1,1,1,0,1,1
966,1,0,0,0,0,0,0,0,0,0,0
967,1,0,0,0,0,0,0,0,0,0,0
968,1,1,1,1,1,1,1,1,1,1,1
969,1,1,1,1,1,1,1,1,1,0,1
970,1,0,0,0,0,0,0,0,0,0,0
971,1,1,1,1,1,1,1,1,1,1,1
972,1,1,1,1,0,1,1,0,1,1,1
973,1,1,1,1,1,0,1,1,1,1,1
974,1,0,0,0,0,0,0,0,0,0,0
975,1,1,1,1,1,1,1,1,0,1,1
976,1,1,1,1,1,1,1,1,1,1,1
977,1,0,0,0,0,0,0,0,0,0,0
978,1,1,1,1,1,1,1,1,1,1,1
979,1,1,1,1,1,0,1,1,1,1,1
980,1,1,1,1,1,1,1,1,1,1,1
981,1,1,1,1,1,1,1,1,1,1,1
982,1,1,1,1,1,1,1,1,1,1,1
983,1,1,1,1,1,1,1,1,1,1,1
984,1,1,1,1,1,1,1,1,1,1,1
985,1,1,1,1,1,1,1,1,0,0,1
986,1,1,1,1,0,1,1,0,1,1,1
987,1,0,0,0,0,0,0,0,0,0,0
988,1,0,0,0,0,0,0,0,0,0,0
989,1,1,1,1,1,1,1,1,1,1,1
990,1,1,1,1,1,1,1,1,1,1,1
991,1,1,1,1,1,1,1,1,1,1,1
992,1,1,1,1,0,1,1,0,1,1,1
993,1,1,1,1,1,1,1,1,1,1,0
994,1,1,1,1,1,1,1,1,1,1,1
995,1,1,1,1,1,1,1,1,0,1,1
996,1,1,1,1,1,1,1,1,0,1,1
997,1,1,1,1,1,1,1,1,0,1,1
998,1,0,0,0,0,0,0,0,0,0,0
999,1,1,1,1,1,1,1,1,1,1,0
1000,1,0,0,0,0,0,0,0,0,0,0
1001,1,0,0,0,0,0,0,0,0,0,0
1002,1,1,1,1,1,1,1,1,1,1,1
1003,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1
1005,1,1,1,1,1,1,1,1,1,1,1
1006,1,0,0,0,0,0,0,0,0,0,0
1007,1,1,1,1,1,1,1,1,1,1,1
1008,1,1,1,1,1,1,1,1,1,1,0
1009,1,0,0,0,0,0,0,0,0,0,0
1010,1,0,0,0,0,0,0,0,0,0,0
1011,1,0,0,0,0,0,0,0,0,0,0
1012,1,0,0,0,0,0,0,0,0,0,0
1013,1,1,1,1,1,1,1,1,1,1,0
1014,1,0,0,0,0,0,0,0,0,0,0
1015,1,1,1,1,1,1,1,1,1,1,1
1016,1,1,1,1,1,1,1,1,1,0,1
1017,1,0,0,0,0,0,0,0,0,0,0
1018,1,0,0,0,0,0,0,0,0,0,0
1019,1,1,1,1,1,0,1,1,1,1,1
1020,1,0,0,0,0,0,0,0,0,0,0
1021,1,1,1,1,1,0,1,1,1,1,1
1022,1,0,0,0,0,0,0,0,0,0,0
1023,1,0,0,0,0,0,0,0,0,0,0
1024,1,1,1,1,1,1,1,1,1,1,1
1025,1,1,1,1,1,1,1,1,1,1,1
1026,1,1,1,1,1,1,1,1,1,1,0
1027,1,1,1,1,1,1,1,1,1,1,1
1028,1,1,0,1,1,1,0,0,1,1,1
1029,1,1,1,1,1,1,1,1,1,1,1
